SIRKET;kanal;YANGIN;SIVIL;TICARI;SIANI;ZORUNLU_DEPREM;IHTIYARI_DEPREM;SEL;depremveseldisindakidogal;nukleerenerji;toprakkaymasi;patlama;toplam
Ac?badem Sa?l?k ve Hayat Sigorta A?;Acente;0;0;0;0;0;0;0;0;0;0;0;85951279.7
Ac?badem Sa?l?k ve Hayat Sigorta A?;Banka;0;0;0;0;0;0;0;0;0;0;0;952869.452
Ac?badem Sa?l?k ve Hayat Sigorta A?;Broker;0;0;0;0;0;0;0;0;0;0;0;235495264.6
Ac?badem Sa?l?k ve Hayat Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Ac?badem Sa?l?k ve Hayat Sigorta A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;202564399.2
Ac?badem Sa?l?k ve Hayat Sigorta A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;524963813
Aegon Emeklilik ve Hayat A?;Acente;0;0;0;0;0;0;0;0;0;0;0;33594.17
Aegon Emeklilik ve Hayat A?;Banka;0;0;0;0;0;0;0;0;0;0;0;775224.16
Aegon Emeklilik ve Hayat A?;Broker;0;0;0;0;0;0;0;0;0;0;0;19053212.39
Aegon Emeklilik ve Hayat A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;10338.65
Aegon Emeklilik ve Hayat A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;19982443.05
Aegon Emeklilik ve Hayat A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;39854812.42
Aksigorta A?;Acente;21476511.78;2589039.99;10160047.75;8727424.04;7730488.3;0;0;0;0;0;0;187542629.9
Aksigorta A?;Banka;7319732.15;3728673;2840402.12;750657.03;2323480.28;0;0;0;0;0;0;39050903.28
Aksigorta A?;Broker;12136816.87;433815.98;8241636.39;3461364.5;292760.8;0;0;0;0;0;0;72967113.5
Aksigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Aksigorta A?;Merkez;68831927.61;54937.85;12822558.64;55954431.12;31333.67;0;0;0;0;0;0;141525622.2
Aksigorta A?;Toplam;109764988.4;6806466.82;34064644.9;68893876.69;10378063.05;0;0;0;0;0;0;441086268.8
Allianz Hayat ve Emeklilik A?;Acente;0;0;0;0;0;0;0;0;0;0;0;4640529.01
Allianz Hayat ve Emeklilik A?;Banka;0;0;0;0;0;0;0;0;0;0;0;2106653.94
Allianz Hayat ve Emeklilik A?;Broker;0;0;0;0;0;0;0;0;0;0;0;213051.74
Allianz Hayat ve Emeklilik A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Hayat ve Emeklilik A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;148669.14
Allianz Hayat ve Emeklilik A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;7108903.83
Allianz Sigorta A?;Acente;29092441.34;8214735.01;15945941.47;4931764.86;5966461.75;0;0;0;0;0;0;376150427.1
Allianz Sigorta A?;Banka;7027233.39;1996418.21;3344951.64;1685863.54;2036284.07;0;0;0;0;0;0;32027886.79
Allianz Sigorta A?;Broker;33154504.77;702333.26;11702828.84;20749342.67;66192.52;0;0;0;0;0;0;233089837.8
Allianz Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Allianz Sigorta A?;Merkez;8808393.81;-12647.11;526503.49;8294537.43;8050.62;0;0;0;0;0;0;54639866.57
